CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",STL,"St. Louis, MO",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",SBA,"Santa Barbara, CA",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",LGB,"Long Beach, CA",United States,SJC,"San Jose, CA",United States,True
Alaska Airlines Inc.,EWR,"Newark, NJ",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,PHX,"Phoenix, AZ",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",LAS,"Las Vegas, NV",United States,SJC,"San Jose, CA",United States,True
Atlas Air Inc.,DAL,"Dallas, TX",United States,SJC,"San Jose, CA",United States,True
Southwest Airlines Co.,ONT,"Ontario, CA",United States,SJC,"San Jose, CA",United States,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",LAS,"Las Vegas, NV",United States,SJC,"San Jose, CA",United States,True
Miami Air International,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,SBA,"Santa Barbara, CA",United States,SJC,"San Jose, CA",United States,True
Alaska Airlines Inc.,LAS,"Las Vegas, NV",United States,SJC,"San Jose, CA",United States,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",LAS,"Las Vegas, NV",United States,SJC,"San Jose, CA",United States,True
"ADVANCED AIR, LLC",HHR,"Hawthorne, CA",United States,SJC,"San Jose, CA",United States,True
Air Canada,YYC,"Calgary, Canada",Canada,SJC,"San Jose, CA",United States,True
XTRA Airways,LEX,"Lexington, KY",United States,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,SNA,"Santa Ana, CA",United States,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,SJC,"San Jose, CA",United States,True
"KaiserAir, Inc.",LGB,"Long Beach, CA",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,SEA,"Seattle, WA",United States,SJC,"San Jose, CA",United States,True
GoJet Airlines LLC d/b/a United Express,SLC,"Salt Lake City, UT",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,JAC,"Jackson, WY",United States,SJC,"San Jose, CA",United States,True
Delux Public Charter LLC,BUR,"Burbank, CA",United States,SJC,"San Jose, CA",United States,True
Horizon Air,ABQ,"Albuquerque, NM",United States,SJC,"San Jose, CA",United States,True
Horizon Air,SNA,"Santa Ana, CA",United States,SJC,"San Jose, CA",United States,True
Southwest Airlines Co.,BUR,"Burbank, CA",United States,SJC,"San Jose, CA",United States,True
Southwest Airlines Co.,SLC,"Salt Lake City, UT",United States,SJC,"San Jose, CA",United States,True
Horizon Air,MCI,"Kansas City, MO",United States,SJC,"San Jose, CA",United States,True
Horizon Air,SAN,"San Diego, CA",United States,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,MSP,"Minneapolis, MN",United States,SJC,"San Jose, CA",United States,True
Jazz Aviation LP,YVR,"Vancouver, Canada",Canada,SJC,"San Jose, CA",United States,True
Delta Air Lines Inc.,GRB,"Green Bay, WI",United States,SJC,"San Jose, CA",United States,True
United Air Lines Inc.,IAH,"Houston, TX",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",United States,SJC,"San Jose, CA",United States,True
SkyWest Airlines Inc.,MSP,"Minneapolis, MN",United States,SJC,"San Jose, CA",United States,True
